185.132091,2280.000000
187.217541,2192.000000
189.302176,2222.000000
191.385997,1953.000000
193.469005,2389.000000
195.551199,2100.000000
197.632580,2260.000000
199.713148,2403.000000
201.792904,2922.000000
203.871847,1890.000000
205.949979,2196.000000
208.027298,2426.000000
210.103807,2655.000000
212.179504,1899.000000
214.254390,2175.000000
216.328466,2080.000000
218.401732,2451.000000
220.474187,1933.000000
222.545833,2621.000000
224.616670,2309.000000
226.686697,2280.000000
228.755915,1917.000000
230.824325,2142.000000
232.891927,1688.000000
234.958720,2318.000000
237.024706,2046.000000
239.089884,2614.000000
241.154255,2061.000000
243.217819,2842.000000
245.280577,2009.000000
247.342528,2289.000000
249.403673,2117.000000
251.464012,2268.000000
253.523546,2267.000000
255.582275,2682.000000
257.640198,2236.000000
259.697317,2418.000000
261.753632,2060.000000
263.809142,2223.000000
265.863849,2273.000000
267.917752,2294.000000
269.970852,1809.000000
272.023149,2398.000000
274.074644,2471.000000
276.125335,2812.000000
278.175225,2087.000000
280.224313,2328.000000
282.272600,2099.000000
284.320085,2589.000000
286.366769,1868.000000
288.412652,2351.000000
290.457735,2312.000000
292.502018,2571.000000
294.545501,1976.000000
296.588184,2246.000000
298.630068,2217.000000
300.671153,2452.000000
302.711440,1771.000000
304.750927,2090.000000
306.789617,1933.000000
308.827509,2540.000000
310.864603,1876.000000
312.900900,2433.000000
314.936399,2237.000000
316.971102,2772.000000
319.005009,2070.000000
321.038119,2374.000000
323.070433,2190.000000
325.101952,2788.000000
327.132675,1872.000000
329.162603,2321.000000
331.191737,2211.000000
333.220076,2711.000000
335.247620,2110.000000
337.274371,2520.000000
339.300328,2196.000000
341.325492,2605.000000
343.349862,2389.000000
345.373440,2543.000000
347.396225,2006.000000
349.418217,2772.000000
351.439418,2062.000000
353.459827,2384.000000
355.479445,2177.000000
357.498272,2367.000000
359.516307,1798.000000
361.533552,2387.000000
363.550007,1984.000000
365.565672,2992.000000
367.580547,2041.000000
369.594632,2333.000000
371.607929,2169.000000
373.620436,2820.000000
375.632155,1848.000000
377.643086,2284.000000
379.653228,2116.000000
381.662583,2832.000000
383.671150,2032.000000
385.678930,2156.000000
387.685923,2170.000000
389.692129,2464.000000
391.697550,2188.000000
393.702184,2214.000000
395.706032,2130.000000
397.709094,2761.000000
399.711372,1854.000000
401.712864,2254.000000
403.713572,2213.000000
405.713495,2605.000000
407.712635,2104.000000
409.710990,2493.000000
411.708562,2209.000000
413.705351,2866.000000
415.701356,2014.000000
417.696579,2274.000000
419.691020,2702.000000
421.684678,2730.000000
423.677555,2123.000000
425.669650,2695.000000
427.660963,2567.000000
429.651496,2495.000000
431.641248,2209.000000
433.630219,2015.000000
435.618411,2007.000000
437.605822,2663.000000
439.592454,2197.000000
441.578306,2234.000000
443.563379,2711.000000
445.547674,2147.000000
447.531190,2071.000000
449.513928,2412.000000
451.495888,2217.000000
453.477071,3011.000000
455.457476,2343.000000
457.437103,2449.000000
459.415955,2340.000000
461.394029,2320.000000
463.371328,2059.000000
465.347850,2579.000000
467.323597,2266.000000
469.298568,2626.000000
471.272764,2114.000000
473.246186,1987.000000
475.218833,2605.000000
477.190705,2507.000000
479.161804,2299.000000
481.132129,2401.000000
483.101680,2121.000000
485.070459,2182.000000
487.038464,2359.000000
489.005697,2253.000000
490.972158,2142.000000
492.937847,2196.000000
494.902763,2225.000000
496.866909,2351.000000
498.830283,2364.000000
500.792887,2515.000000
502.754719,2004.000000
504.715782,2192.000000
506.676074,1909.000000
508.635597,2476.000000
510.594350,2181.000000
512.552334,2538.000000
514.509549,2294.000000
516.465996,2834.000000
518.421674,2280.000000
520.376584,2658.000000
522.330726,2263.000000
524.284101,2515.000000
526.236708,2173.000000
528.188549,2586.000000
530.139623,2489.000000
532.089930,2643.000000
534.039471,2111.000000
535.988247,2468.000000
537.936257,2483.000000
539.883502,2618.000000
541.829982,1915.000000
